city_code,city
110000.0,北京市
120000.0,天津市
130100.0,石家庄市
130200.0,唐山市
130300.0,秦皇岛市
130400.0,邯郸市
130500.0,邢台市
130600.0,保定市
130700.0,张家口市
130800.0,承德市
130900.0,沧州市
131000.0,廊坊市
131100.0,衡水市
140100.0,太原市
140200.0,大同市
140300.0,阳泉市
140400.0,长治市
140500.0,晋城市
140600.0,朔州市
140700.0,晋中市
140800.0,运城市
140900.0,忻州市
141000.0,临汾市
141100.0,吕梁市
150100.0,呼和浩特市
150200.0,包头市
150300.0,乌海市
150400.0,赤峰市
150500.0,通辽市
150600.0,鄂尔多斯市
150700.0,呼伦贝尔市
150800.0,巴彦淖尔市
150900.0,乌兰察布市
210100.0,沈阳市
210200.0,大连市
210300.0,鞍山市
210400.0,抚顺市
210500.0,本溪市
210600.0,丹东市
210700.0,锦州市
210800.0,营口市
210900.0,阜新市
211000.0,辽阳市
211100.0,盘锦市
211200.0,铁岭市
211300.0,朝阳市
211400.0,葫芦岛市
220100.0,长春市
220200.0,吉林市
220300.0,四平市
220400.0,辽源市
220500.0,通化市
220600.0,白山市
220700.0,松原市
220800.0,白城市
230100.0,哈尔滨市
230200.0,齐齐哈尔市
230300.0,鸡西市
230400.0,鹤岗市
230500.0,双鸭山市
230600.0,大庆市
230700.0,伊春市
230800.0,佳木斯市
230900.0,七台河市
231000.0,牡丹江市
231100.0,黑河市
231200.0,绥化市
310000.0,上海市
320100.0,南京市
320200.0,无锡市
320300.0,徐州市
320400.0,常州市
320500.0,苏州市
320600.0,南通市
320700.0,连云港市
320800.0,淮安市
320900.0,盐城市
321000.0,扬州市
321100.0,镇江市
321200.0,泰州市
321300.0,宿迁市
330100.0,杭州市
330200.0,宁波市
330300.0,温州市
330400.0,嘉兴市
330500.0,湖州市
330600.0,绍兴市
330700.0,金华市
330800.0,衢州市
330900.0,舟山市
331000.0,台州市
331100.0,丽水市
340100.0,合肥市
340200.0,芜湖市
340300.0,蚌埠市
340400.0,淮南市
340500.0,马鞍山市
340600.0,淮北市
340700.0,铜陵市
340800.0,安庆市
341000.0,黄山市
341100.0,滁州市
341200.0,阜阳市
341300.0,宿州市
341500.0,六安市
341600.0,亳州市
341700.0,池州市
341800.0,宣城市
350100.0,福州市
350200.0,厦门市
350300.0,莆田市
350400.0,三明市
350500.0,泉州市
350600.0,漳州市
350700.0,南平市
350800.0,龙岩市
350900.0,宁德市
360100.0,南昌市
360200.0,景德镇市
360300.0,萍乡市
360400.0,九江市
360500.0,新余市
360600.0,鹰潭市
360700.0,赣州市
360800.0,吉安市
360900.0,宜春市
361000.0,抚州市
361100.0,上饶市
370100.0,济南市
370200.0,青岛市
370300.0,淄博市
370400.0,枣庄市
370500.0,东营市
370600.0,烟台市
370700.0,潍坊市
370800.0,济宁市
370900.0,泰安市
371000.0,威海市
371100.0,日照市
371200.0,莱芜市
371300.0,临沂市
371400.0,德州市
371500.0,聊城市
371600.0,滨州市
371700.0,菏泽市
410100.0,郑州市
410200.0,开封市
410300.0,洛阳市
410400.0,平顶山市
410500.0,安阳市
410600.0,鹤壁市
410700.0,新乡市
410800.0,焦作市
410900.0,濮阳市
411000.0,许昌市
411100.0,漯河市
411200.0,三门峡市
411300.0,南阳市
411400.0,商丘市
411500.0,信阳市
411600.0,周口市
411700.0,驻马店市
420100.0,武汉市
420200.0,黄石市
420300.0,十堰市
420500.0,宜昌市
420600.0,襄阳市
420700.0,鄂州市
420800.0,荆门市
420900.0,孝感市
421000.0,荆州市
421100.0,黄冈市
421200.0,咸宁市
421300.0,随州市
430100.0,长沙市
430200.0,株洲市
430300.0,湘潭市
430400.0,衡阳市
430500.0,邵阳市
430600.0,岳阳市
430700.0,常德市
430800.0,张家界市
430900.0,益阳市
431000.0,郴州市
431100.0,永州市
431200.0,怀化市
431300.0,娄底市
440100.0,广州市
